[4/21/21 4:29 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'Hunter' in 'where clause'>
[4/21/21 4:30 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'Hunter' in 'where clause'>
[4/21/21 4:31 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'Hunter' in 'where clause'>
[4/21/21 4:34 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'afdsfds' in 'where clause'>
[4/21/21 4:41 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'asdfdsafdsa' in 'where clause'>
[4/21/21 4:41 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsafdsfdsa' in 'where clause'>
[4/21/21 4:41 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'sdfsd' in 'where clause'>
[4/21/21 4:41 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsafdsafsdfdsa' in 'where clause'>
[4/21/21 4:43 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsfdsafdsa' in 'where clause'>
[4/21/21 4:44 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsafdsadfdsafdsa' in 'where clause'>
[4/21/21 4:49 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsafdsfdsa' in 'where clause'>
[4/21/21 4:50 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsafdsafdsa' in 'where clause'>
[4/21/21 7:28 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dfdafa' in 'where clause'>
[4/21/21 7:41 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'sadsasa' in 'where clause'>
[4/21/21 7:42 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsafdsa' in 'where clause'>
[4/21/21 7:44 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'hunter' in 'where clause'>
[4/21/21 8:26 PM]|Worker|insertPersistentState|Error|NOTAG|null<SQL Exception: 0: Data truncation: Incorrect date value: '' for column 'dateOfLatestCredentialsStatus' at row 1>
[4/21/21 8:27 PM]|Worker|insertPersistentState|Error|NOTAG|null<SQL Exception: 1062: Duplicate entry '111111111' for key 'PRIMARY'>
